FGA0327 | ATIVIDADE COMPLEMENTAR | 90h | OrientaCAo AcadEmica/Profissional | OPTATIVO
FGA0328 | ATIVIDADE COMPLEMENTAR | 120h | OrientaCAo AcadEmica/Profissional | OPTATIVO
FTD0007 | INTRODUCAO A ATIVIDADE EMPRESARIAL | 60h | Aula | OPTATIVO
LIP0174 | LINGUA DE SINAIS BRASILEIRA - BASICO | 60h | Aula | OPTATIVO
MATO0272 | CALCULO 3 | 90h | Aula | OPTATIVO
MATO0038 | TEORIA DOS NUMEROS 1 | 60h | Aula | OPTATIVO
CIC0004 | ALGORITMOS E PROGRAMACAO DE COMPUTADORES | 90h | Aula | OBRIGATORIO
FGA0163 | INTRODUCAO A ENGENHARIA | 30h | Aula | OBRIGATORIO
FGA0168 | DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR | 90h | Aula | OBRIGATORIO
FGA0302 | ENGENHARIA E AMBIENTE | 60h | Aula | OBRIGATORIO
MATO025 | CALCULO 1 | 90h | Aula | OBRIGATORIO
FGA0157 | PROBABILIDADE E ESTATISTICA APLICADA A ENGENHARIA | 60h | Aula | OBRIGATORIO
IFD0171 | FISICA 1 | 60h | Aula | OBRIGATORIO
IFD0173 | FISICA 1 EXPERIMENTAL | 30h | Aula | OBRIGATORIO
MATO026 | CALCULO 2 | 90h | Aula | OBRIGATORIO
MATO031 | INTRODUCAO A ALGEBRA LINEAR | 60h | Aula | OBRIGATORIO
FGA0071 | PRATICA DE ELETRONICA DIGITAL 1 | 30h | Aula | OBRIGATORIO
FGA0073 | TEORIA DE ELETRONICA DIGITAL 1 | 60h | Aula | OBRIGATORIO
FGA0085 | MATEMATICA DISCRETA 1 | 60h | Aula | OBRIGATORIO
FGA0133 | ENGENHARIA ECONOMICA | 60h | Aula | OBRIGATORIO
FGA0158 | ORIENTACAO A OBJETOS | 60h | Aula | OBRIGATORIO
FGA0160 | METODOS NUMERICOS PARA ENGENHARIA | 60h | Aula | OBRIGATORIO
FGA0164 | HUMANIDADES E CIDADANIA | 60h | Aula | OBRIGATORIO
FGA0108 | MATEMATICA DISCRETA 2 | 60h | Aula | OBRIGATORIO
FGA0142 | FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES | | Aula | OBRIGATORIO
FGA0146 | ESTRUTURAS DE DADOS 1 | 60h | Aula | OBRIGATORIO
FGA0303 | PROJETO INTEGRADOR DE ENGENHARIA 1 | 60h | Aula | OBRIGATORIO
FGA0307 | GESTAO DA PRODUCAO E QUALIDADE | 60h | Aula | OBRIGATORIO
FGA0312 | METODOS DE DESENVOLVIMENTO DE SOFTWARE | 60h | Aula | OBRIGATORIO
FGA0003 | COMPILADORES 1 | 60h | Aula | OBRIGATORIO
FGA0030 | ESTRUTURAS DE DADOS 2 | 60h | Aula | OBRIGATORIO
FGA0137 | SISTEMAS DE BANCO DE DADOS 1 | 60h | Aula | OBRIGATORIO
FGA0170 | FUNDAMENTOS DE SISTEMAS OPERACIONAIS | 60h | Aula | OBRIGATORIO
FGA0173 | INTERACAO HUMANO COMPUTADOR | 60h | Aula | OBRIGATORIO
FGA0313 | REQUISITOS DE SOFTWARE | 60h | Aula | OBRIGATORIO
FGA0060 | SISTEMAS DE BANCO DE DADOS 2 | 60h | Aula | OBRIGATORIO
FGA0124 | PROJETO DE ALGORITMOS | 60h | Aula | OBRIGATORIO
FGA0208 | ARQUITETURA E DESENHO DE SOFTWARE | 60h | Aula | OBRIGATORIO
FGA0211 | FUNDAMENTOS DE REDES DE COMPUTADORES | 60h | Aula | OBRIGATORIO
FGA0314 | TESTES DE SOFTWARE | 60h | Aula | OBRIGATORIO
FGA0315 | QUALIDADE DE SOFTWARE 1 | 60h | Aula | OBRIGATORIO
FGA0109 | FUNDAMENTOS DE SISTEMAS EMBARCADOS | 60h | Aula | OBRIGATORIO
FGA0210 | PARADIGMAS DE PROGRAMACAO | 60h | Aula | OBRIGATORIO
FGA0242 | TECNICAS DE PROGRAMCAO EM PLATAFORMAS EMERGENTES | 60h | Aula | OBRIGATORIO
FGA0244 | PROGRAMACAO PARA SISTEMAS PARALELOS E DISTRIBUIDOS | 60h | Aula | OBRIGATORIO
FGA0288 | ESTAGIO SUPERVISIONADO | 210h | OrientaCAo AcadEmica/Profissional |  OBRIGATORIO
FGA0316 | ENGENHARIA DE PRODUTO DE SOFTWARE | 60h | Aula | OBRIGATORIO
FGA0317 | GERENCIA DE CONFIGURACAO E EVOLUCAO DE SOFTWARE | 60h | Aula | OBRIGATORIO
FGA0287 | TRABALHO DE CONCLUSAO DE CURSO 1 | 60h | OrientaCAo AcadEmica/Profissional | OBRIGATORIO
FGA0304 | PROJETO INTEGRADOR DE ENGENHARIA 2 | 90h | Aula | OBRIGATORIO
FGA0290 | TRABALHO DE CONCLUSAO DE CURSO 2 | 90h | OrientaCAo AcadEmica/Profissional |  OBRIGATORIO
FGA0318 | ATIVIDADE DE EXTENSAO ENGENHARIA DE SOFTWARE | 45h | OrientaCAo AcadEmica/Profissional | OBRIGATORIO
  
